Which Cluster,Commandment,Bible Verse,Numerical Commandment Reference,Numerical Bible Verse Reference
5,Assemble all the people on the Feast of Tabernacles following the seventh year,DEU 31:10,55,128
4,Set aside the firstborn animals ,EXO 13:12,528,156
4,The priests must not eat unblemished firstborn animals outside Jerusalem ,DEU 12:17,604,5
1,Do not redeem the firstborn animals ,NUM 18:17,329,418
3,Separate the tithe of animals ,LEV 27:32,522,384
1,Do not redeem the tithe,LEV 27:33,330,385
3,Every person must bring a sin offering for his transgression ,LEV 4:27,405,391
2,Bring an asham offering when uncertain of guilt ,LEV 5:17,72,395
2,Bring an offering when guilt is determined for certain sins,LEV 6:6,74,405
2,Bring an offering in accordance with one's financial ability,LEV 5:7,73,396
3,The High Court must bring an offering when it rules in error ,LEV 4:13,537,390
2,A woman who had a running vaginal issue must bring an offering in the Temple after she immerses in water,LEV 15:28,39,266
2,A woman who gave birth must bring an offering after she immerses in water,LEV 12:6,38,253
2,A man who had a running unnatural urinary issue must bring an offering in the Temple after he immerses in water,LEV 15:13,15,262
2,An leprous person must bring an offering after immersing in water,LEV 14:10,48,258
1,Do not substitute another beast for one set apart for sacrifice ,LEV 27:10,362,377
2,Both an animal offered as a substitution as well as an animal set apart for sacrifice retain their consecration ,LEV 27:10,60,377
2,Do not change consecrated animals from one type of offering to another ,LEV 27:26,137,382
2,Carry out the laws of impurity of the dead ,NUM 19:14,88,426
2,Carry out the procedure of the Red Heifer,NUM 19:2,96,427
2,Carry out the laws of the sprinkling water ,NUM 19:21,94,428
3,Follow the commandments of human leprosy as prescribed in the Law ,LEV 13:12,412,254
4,The unclean person must not remove his signs of impurity ,DEU 24:8,606,115
3,The leprous person must not shave signs of impurity in his hair ,LEV 13:33,584,255
3,"The leprous person must publicize his condition by tearing his garments, allowing his hair to grow and covering his lips ",LEV 13:45,585,256
2,Carry out the prescribed rules for purifying the leprous person ,LEV 14:2,95,259
3,The leprous person must shave off all his hair prior to purification ,LEV 14:9,586,261
2,Carry out the laws of leprous clothing ,LEV 13:47,90,257
2,Carry out the laws of leprous houses ,LEV 14:34,91,260
3,Observe the laws of menstrual impurity ,LEV 15:19,470,264
3,Observe the laws of impurity caused by childbirth ,LEV 12:2,466,251
3,Observe the laws of impurity caused by a woman's running issue ,LEV 15:25,465,265
3,Observe the laws of impurity caused by a man's running issue,LEV 15:3,464,267
3,Observe the laws of impurity caused by a dead beast ,LEV 11:39,463,244
3,Observe the laws of impurity caused by the eight listed creatures,LEV 11:29,467,242
3,Observe the laws of impurity of a seminal emission,LEV 15:16,469,263
3,Observe the laws of impurity concerning liquid and solid foods ,LEV 11:34,468,243
3,Every impure person must immerse himself in water to become pure ,LEV 15:16,404,263
4,The court must judge the damages incurred by a goring ox ,EXO 21:28,549,183
4,The court must judge the damages incurred by an animal eating ,EXO 22:5,551,196
4,The court must judge the damages incurred by a pit ,EXO 21:33,550,184
4,The court must judge the damages incurred by fire ,EXO 22:6,552,197
1,Do not steal money by lying,LEV 19:11,360,292
4,The court must implement punitive measures against a thief ,EXO 22:1,548,186
3,Each individual must ensure that his scales and weights are accurate ,LEV 19:36,392,311
2,Do not commit injustice with scales and weights ,LEV 19:35,140,310
0,Do not possess inaccurate scales and weights even if they are not for use ,DEU 25:13,311,117
0,Do not move a boundary marker to steal someone's property ,DEU 19:14,290,58
0,Do not kidnap ,EXO 20:15,265,165
1,Do not rob ,LEV 19:13,340,294
1,Do not withhold wages or fail to repay a debt ,LEV 19:13,380,294
5,Do not covet and scheme to acquire another's possession ,EXO 20:17,145,167
5,Do not desire another's possession ,DEU 5:18,164,131
3,Return a stolen object or its value,LEV 6:5,512,404
0,Do not ignore a lost object ,DEU 22:3,257,83
4,Return the lost object ,DEU 22:1,514,75
4,The court must implement laws against the one who assaults another or damages another's property ,EXO 21:18,547,180
0,Do not murder ,EXO 20:13,291,164
2,Do not accept monetary restitution to atone for a murderer ,NUM 35:31,111,445
3,The court must send the accidental murderer to a city of refuge ,NUM 35:25,559,443
2,Do not accept monetary restitution instead of being sent to a city of refuge ,NUM 35:32,110,446
1,Do not kill a murderer before he stands trial ,NUM 35:12,266,441
4,Save someone from being killed by a blood avenger even by taking the life of the pursuer ,DEU 25:12,519,116
1,Do not pity a person who pursues an individual accused of murder,NUM 35:12,307,441
1,Do not stand idly by if someone's life is in danger ,LEV 19:16,359,297
5,Designate cities of refuge and prepare routes of access ,DEU 19:3,106,61
5,Break the neck of a calf by the river valley following an unsolved murder ,DEU 21:4,61,74
0,Do not work nor plant the river valley where an unsolved murder occurred ,DEU 21:4,384,74
5,Do not allow pitfalls and obstacles to remain on your property ,DEU 22:8,115,88
4,Make a guard rail around flat roofs ,DEU 22:8,455,88
1,Do not put a stumbling block before a blind man,LEV 19:14,319,295
4,Help another remove the load from a beast which can no longer carry it ,EXO 23:5,430,210
0,Help others load their beast ,DEU 22:4,431,84
0,Do not leave others distraught with their burdens (but to help either load or unload) ,DEU 22:4,268,84
2,Buy and sell according to God's Law ,LEV 25:14,84,360
1,Do not overcharge or underpay for an article ,LEV 25:14,301,360
1,Do not insult or harm anybody with words ,LEV 25:17,263,361
5,Do not cheat a foreigner monetarily ,EXO 22:21,138,191
0,Do not insult or harm a foreigner with words ,EXO 22:21,262,191
4,Purchase a Hebrew slave in accordance with the prescribed laws ,EXO 21:2,486,181
1,Do not sell a Hebrew as a non-Hebrew is sold ,LEV 25:42,345,369
3,Do not work a Hebrew slave oppressively ,LEV 25:43,381,370
2,Do not allow a non-Israelite to work a Hebrew slave oppressively ,LEV 25:53,114,373
1,Do not have a Hebrew slave do menial slave labor ,LEV 25:39,234,367
0,Give a Hebrew slave gifts when he goes free ,DEU 15:14,418,28
0,Do not send a Hebrew slave away empty-handed ,DEU 15:13,350,27
4,Redeem Israelite maidservants ,EXO 21:8,491,185
5,Betroth the Israelite maidservant ,EXO 21:8,56,185
4,The master must not sell his maidservant ,EXO 21:8,587,185
2,Canaanite slaves must work forever unless injured in one of their limbs ,LEV 25:46,85,371
5,Do not extradite a slave who fled to the Land of Israel ,DEU 23:16,223,94
0,Do not wrong a slave who has come to the Land of Israel for refuge ,DEU 23:16,390,94
4,The courts must carry out the laws of a hired worker and hired guard ,EXO 22:10,565,187
4,Pay wages on the day they were earned ,DEU 24:15,480,108
2,Do not delay payment of wages past the agreed time ,LEV 19:13,155,294
4,The hired worker may eat from the unharvested crops where he works ,DEU 23:25,577,100
4,The worker must not eat while on hired time ,DEU 23:25,608,100
4,The worker must not take more than he can eat ,DEU 23:25,609,100
0,Do not muzzle an ox while plowing ,DEU 25:4,293,121
4,The courts must carry out the laws of a borrower ,EXO 22:14,564,188
4,The courts must carry out the laws of an unpaid guard ,EXO 22:7,566,198
4,Lend to the poor and destitute ,EXO 22:25,450,192
0,Do not press the poor and destitute for payment if you know they don't have it ,EXO 22:25,313,192
4,Press the idolater for payment of a loan ,DEU 15:3,484,31
4,The creditor must not forcibly take collateral ,DEU 24:10,569,105
4,Return the collateral to the debtor when needed ,DEU 24:13,513,107
5,Do not delay return of collateral when needed ,DEU 24:12,156,106
5,Do not demand collateral from a widow ,DEU 24:17,159,110
5,Do not demand as collateral utensils needed for preparing food ,DEU 24:6,158,114
1,Do not lend with interest ,LEV 25:37,274,366
5,Do not borrow with interest ,DEU 23:19,127,96
0,"Do not intermediate in an interest loan, guarantee, witness, or write the promissory note ",EXO 22:25,264,192
4,Lend to and borrow from idolaters with interest ,DEU 23:20,449,97
4,"The courts must carry out the laws of the plaintiff, admitter, or denier ",EXO 22:9,567,199
2,Carry out the laws of the order of inheritance ,NUM 27:8,93,429
5,Appoint judges ,DEU 16:18,54,37
5,Do not appoint judges who are not familiar with the Law,DEU 1:17,119,62
5,Decide by majority in case of disagreement ,EXO 23:2,104,207
4,The court must not execute through a majority of one; at least a majority of two is required ,EXO 23:2,554,207
2,A judge who presented an acquittal plea must not present an argument for conviction in capital cases ,EXO 23:2,10,207
4,The courts must carry out the death penalty of stoning ,DEU 22:24,562,80
3,The courts must carry out the death penalty of burning ,LEV 20:14,560,317
4,The courts must carry out the death penalty of decapitation with the sword ,EXO 21:20,561,182
3,The courts must carry out the death penalty of strangulation ,LEV 20:10,563,316
4,The courts must hang those stoned for blasphemy or idolatry ,DEU 21:22,568,72
5,Bury the executed on the day they are killed ,DEU 21:23,83,73
5,Do not delay burial overnight ,DEU 21:23,154,73
4,The court must not let the sorcerer live ,EXO 22:18,557,190
4,The court must give lashes to the wrongdoer ,DEU 25:3,546,120
4,The court must not exceed the prescribed number of lashes ,DEU 25:3,553,120
4,The court must not kill anybody on circumstantial evidence ,EXO 23:7,556,212
4,The court must not punish anybody who was forced to do a crime ,DEU 22:26,558,81
5,A judge must not pity the murderer or assaulter at the trial ,DEU 19:13,8,57
2,A judge must not have mercy on the poor man at the trial ,LEV 19:15,5,296
2,A judge must not respect the great man at the trial ,LEV 19:15,9,296
2,A judge must not decide unjustly the case of the habitual transgressor ,EXO 23:6,4,211
2,A judge must not pervert justice ,LEV 19:15,7,296
5,A judge must not pervert a case involving a foreigner or orphan ,DEU 24:17,6,110
3,Judge righteously ,LEV 19:15,435,296
4,The judge must not fear a violent man in judgment ,DEU 1:17,578,62
4,Judges must not accept bribes ,EXO 23:8,436,213
4,Judges must not accept testimony unless both parties are present ,EXO 23:1,437,200
5,Do not curse judges ,EXO 22:28,149,193
5,Do not curse the head of state or leader of the Sanhedrin ,EXO 22:28,150,193
2,Do not curse any upstanding Israelite ,LEV 19:14,148,295
2,Anybody who knows evidence must testify in court ,LEV 5:1,51,392
5,Carefully interrogate the witness ,DEU 13:15,86,15
2,A witness must not serve as a judge in capital crimes ,NUM 35:30,36,444
5,Do not accept testimony from a lone witness ,DEU 19:15,112,59
4,Habitual transgressors must not testify ,EXO 23:1,425,200
4,Relatives of the litigants must not testify ,DEU 24:16,496,109
0,Do not testify falsely ,EXO 20:16,373,166
4,Punish the false witnesses as they tried to punish the defendant ,DEU 19:19,485,60
5,Act according to the ruling of the Sanhedrin ,DEU 17:11,40,43
5,Do not deviate from the word of the Sanhedrin ,DEU 17:11,167,43
5,Do not add any commandments to the Law,DEU 12:32,113,11
5,Do not diminish any commandments from the Law,DEU 12:32,168,11
5,Do not curse your father and mother ,EXO 21:17,151,179
0,Do not strike your father and mother ,EXO 21:15,361,178
4,Respect your father or mother ,EXO 20:12,503,163
3,Fear your father or mother ,LEV 19:3,411,306
5,Do not be a rebellious son ,DEU 21:18,122,71
4,Mourn for relatives ,LEV 10:19,461,234
3,The high priest must not defile himself for any relative ,LEV 21:11,573,320
3,The high priest must not enter under the same roof as a corpse ,LEV 21:11,574,320
2,A priest must not defile himself (by going to funerals or cemeteries) for anyone except relatives ,LEV 21:1,22,319
5,Appoint a king from Israel ,DEU 17:15,52,44
5,Do not appoint a foreigner as king ,DEU 17:15,118,44
4,The king must not have too many wives ,DEU 17:17,581,46
4,The king must not have too many horses ,DEU 17:16,580,45
4,The king must not have too much silver and gold ,DEU 17:17,582,46
5,Destroy the seven Canaanite nations ,DEU 20:17,109,65
0,Do not let any of the seven Canaanite nations remain alive ,DEU 20:16,278,64
4,Wipe out the descendants of Amalek ,DEU 25:19,611,119
4,Remember what Amalek did to the Israelites,DEU 25:17,499,118
5,Do not forget Amalek's atrocities and ambush on our journey from Egypt in the desert ,DEU 25:19,227,119
5,Do not dwell permanently in Egypt,DEU 17:16,178,45
4,"Offer peace terms to the inhabitants of a city while holding siege, and treat them according to the Law if they accept the terms ",DEU 20:10,474,63
0,Do not offer peace to Ammon and Moab while besieging them ,DEU 23:7,297,103
5,Do not destroy fruit trees even during the siege ,DEU 20:19,165,66
4,Prepare latrines outside the camps ,DEU 23:13,482,92
4,Prepare a shovel for each soldier to dig with ,DEU 23:14,481,93
5,Appoint a priest to speak with the soldiers during the war ,DEU 20:2,53,67
0,"He who has taken a wife, built a new home, or planted a vineyard is given a year to rejoice with his possessions ",DEU 24:5,428,113
5,Do not demand any communal or military involvement for one year,DEU 24:5,157,113
0,Do not panic and retreat during battle ,DEU 20:3,302,68
4,Keep the laws of the captive woman ,DEU 21:11,439,69
0,Do not sell a captive woman into slavery ,DEU 21:14,346,70
0,Do not retain a captive woman for servitude after having sexual relations with her ,DEU 21:14,338,70
